2015-05-18 21:35:41 INFO  Eyes:152 - Grey copies blurred with Gaussian blur: mask 3x3, 0.6 st.dev.
2015-05-18 21:35:41 INFO  Eyes:227 - Point for right outer eye corner set to: 107.0,51.0
2015-05-18 21:35:41 INFO  FeatureStore:30 - Creating array for stroing face features points!
2015-05-18 21:35:41 INFO  Eyes:238 - Point for right inner eye corner set to: 78.0,53.0
2015-05-18 21:35:41 INFO  Eyes:249 - Point for left outer eye corner set to: 20.0,52.0
2015-05-18 21:35:41 INFO  Eyes:260 - Point for left inner eye corner set to: 49.0,54.0
2015-05-18 21:35:41 INFO  Eyebrows:93 - Starting detecting eyebrows
2015-05-18 21:35:41 INFO  Eyebrows:41 - Start preparing image for Haaris corner detection.
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 WARN  FeatureStore:50 - Unable to mark feature!
2015-05-18 21:35:41 INFO  Analyzator:55 - Closing application context
2015-05-18 21:35:41 INFO  ClassPathXmlApplicationContext:862 - Closing org.springframework.context.support.ClassPathXmlApplicationContext@4f8e5cde: startup date [Mon May 18 21:35:40 CEST 2015]; root of context hierarchy
